image_name,display_name,website_link,location,tags,short_description
aa-1.jpg,Alkali Anonymous,https://alkalianonymous.com,Dealer's Den Performer Table,Dealers Den || Performer Table,Chicago-based furry streamer & podcaster. Comedic & surrealist content at your fingertips! Or foot tips... if you like that sort of thing.
Aromatic Hyena Twitter - Wandering Artist.jpg,Aromatic Creations,https://www.aromaticcreations.club/,Night Market #4,Night Market || Wallscrolls || Art Prints || Stickers || Commissions || Dakimakuras,I make NSFW art and animations of musky and sweaty furries!
Color 2 - Baby Blue (B.B.).jpg,B.B.'s Art Boutique,https://twitter.com/bbsartboutique,Dealer's Den #7,Dealers Den || Commissions || Playmats || Stickers,B.B. sells live drawn commissions and unique custom convention badges! He'll turn your sona into a trading card! All his badges include NFC chips for easy scanning for your social media while mingling at the con! Check him out everywhere @bbsartboutique!
blind-coyote-logo.png,BlindCoyote,https://www.blindcoyote.com,Dealer's Den #8,Dealers Den || Art Prints || Pins || Mousepads || Playmats || Stickers || Wallscrolls,Fantastical uplifting illustrations full of wildlife and other creatures in vibrant worlds. Let me bring your ideas to life.
blank.jpg,Boozy Badger,https://linktr.ee/boozybadger,Dealer's Den Performer Table,Dealers Den || Performer Table,Song & dance man/comedic performer/Law Talker. Kentucky Colonel. Host of Boozy's Legal Funhouse podcast. He/Him. Not your lawyer.
Toonfox banner logo 600 - Brian Reynolds.jpg,Brian Reynolds,https://www.furaffinity.net/user/toonfx/,Dealer's Den #15,Dealers Den || Lanyards || Commissions || Traditional Art || Art Prints || Stickers || Charms,"My name is Brian Reynolds and I'm a professional cartoonist / animator with experience working in Slot Machines, Children's Educational Software, and handheld consoles. My experience dealing at conventions runs back to 1998 when Anthrocon was held in Albany, NY. I specialize in lively, exuberant, personality-rich cartoon character renders. I love to entertain folks with my work and I strive to make each of my efforts a ""performance"" of sorts where I make your character feel alive and vibrant. I bring to my table a large collection of original art, prints, stickers, lanyards, and FUN. I look forward to interacting with everyone who visits my table and sharing my enthusiasm for art and drawing!"
Postcard Pack In Back (4x6) - Blair Ondrla.jpg,CHAOS COSTUMES LLC,https://chaoscostumes.store/,Dealer's Den #3,Dealers Den || Costume Parts || Headwear || Footwear || Apparel,"I primarily create resin casted and 3D printed sculptures. I specialize in accessories such as horns, hooves and paws. The horns are modular and can be worn with a human head or a fursuit head. I also sell 3D printed fursuit head bases and looking to expand to anthro ball jointed dolls."
CherryBoxBrandLogo.jpg,"CherryBox Media, LLC",https://cherryb0x.com,Dealer's Den #11,Dealers Den || Apparel || Art Prints || Commissions || Traditional Art || Dakimakuras,"Since 2010, we have been making some great art and merch for the fandom. Some stuff to look great as both con-wear and streetwear."
citrine-logo2.jpg,Citrine,https://www.youtube.com/user/RebaRox10,Dealer's Den Performer Table,Dealers Den || Performer Table,"Citrine husky is the fandoms blind singing husky.. with nearly 20 albums of music there is something for everyone. Prices for CDs are $10 each, the forever pass is $200 and is a one-time price that gets you music for life. Feel free to take a personally brailed business card."
CryTime SMD Stacked smaller - Sophia DeFelice.jpg,CryTime,https://crytime.art/,Dealer's Den #14,Dealers Den || Silk-Screen Prints || Silk-Screen Patches || Stickers || Bags || Pins,"CryTime is an all-encompassing shop of critter themed art and art products by Sophia DeFelice! CryTime has a mix of manufactured and handmade goods. We sell risograph prints, silk-screen prints, silk-screen patches, stickers, magnets, playing cards, pouches, enamel pins, and other various products."
